Seniority,High,Low,Medium,UQ,LQ,Count,Mean,Std
0,70000,21000,31500.0,35000.0,28500.0,38,33052.63157894737,8970.558183715426
1,91000,5000,30000.0,33000.0,26000.0,112,31767.85714285714,11265.451407207936
2,60000,5000,33000.0,42000.0,30000.0,77,35350.64935064935,8872.496879517344
3,90000,5000,32000.0,40000.0,26000.0,68,35764.705882352944,16002.865227881228
4,600000,20000,35000.0,43500.0,30750.0,56,53178.57142857143,83460.02189732542
5,1500000,15000,36000.0,48000.0,32000.0,42,76595.23809523809,223297.69362293975
6,80000,24000,44000.0,54500.0,33500.0,23,44695.65217391304,13998.244556430127
7,110000,25000,42000.0,50000.0,38000.0,25,48840.0,20766.66559657568
8,120000,22000,40000.0,56750.0,31750.0,16,47312.5,23488.610937005193
9,70000,24000,32000.0,39000.0,28500.0,11,36636.36363636364,13123.696314631701
